medium;description;BiGG;name
LB;Lysogeny broth;adn;Adenosine
LB;;ala__L;L-Alanine
LB;;amp;AMP
LB;;arg__L;L-Arginine
LB;;aso3;Arsenite 
LB;;asp__L;L-Aspartate
LB;;ca2;Ca2+
LB;;cbl1;Vitamin B12
LB;;cd2;Cadmium
LB;;cl;Cl-
LB;;cmp;CMP
LB;;cobalt2;Co2+
LB;;cro4;Chromate 
LB;;cu2;Cu2+
LB;;cys__L;L-Cysteine
LB;;dad_2;Deoxyadenosine 
LB;;dcyt;Deoxycytidine
LB;;fe2;Fe2+
LB;;fe3;Fe3+
LB;;fol;Folate
LB;;glc__D;D-Glucose
LB;;glu__L;L-Glutamate
LB;;gly;Glycine
LB;;gmp;GMP
LB;;gsn;Guanosine
LB;;h2o;H2O
LB;;h2s;Hydrogen sulfide
LB;;h;H+
LB;;hg2;Hg2+ 
LB;;his__L;L-Histidine
LB;;hxan;Hypoxanthine
LB;;ile__L;L-Isoleucine
LB;;ins;Inosine
LB;;k;K+
LB;;leu__L;L-Leucine
LB;;lipoate;Lipoate
LB;;lys__L;L-Lysine
LB;;met__L;L-Methionine
LB;;mg2;Mg
LB;;mn2;Mn2+
LB;;mobd;Molybdate
LB;;na1;Na+
LB;;nac;Isonicotinic acid
LB;;nh4;Ammonium
LB;;ni2;Ni2+
LB;;o2;O2
LB;;phe__L;L-Phenylalanine
LB;;pheme;Protoheme
LB;;pi;Phosphate
LB;;pnto__R;PAN
LB;;pro__L;L-Proline
LB;;pydx;Pyridoxal
LB;;ribflv;Riboflavin
LB;;ser__L;L-Serine
LB;;so4;Sulfate
LB;;thm;Thiamin
LB;;thr__L;L-Threonine
LB;;thymd;Thymidine
LB;;trp__L;L-Tryptophan
LB;;tyr__L;L-Tyrosine
LB;;ump;UMP
LB;;ura;Uracil
LB;;uri;Uridine
LB;;val__L;L-Valine
LB;;zn2;Zn2+
LB[-O2];Lysogeny broth (anaerobic);adn;Adenosine
LB[-O2];;ala__L;L-Alanine
LB[-O2];;amp;AMP
LB[-O2];;arg__L;L-Arginine
LB[-O2];;aso3;Arsenite 
LB[-O2];;asp__L;L-Aspartate
LB[-O2];;ca2;Ca2+
LB[-O2];;cbl1;Vitamin B12
LB[-O2];;cd2;Cadmium 
LB[-O2];;cl;Cl-
LB[-O2];;cmp;CMP
LB[-O2];;cobalt2;Co2+
LB[-O2];;cro4;Chromate 
LB[-O2];;cu2;Cu2+
LB[-O2];;cys__L;L-Cysteine
LB[-O2];;dad_2;Deoxyadenosine 
LB[-O2];;dcyt;Deoxycytidine
LB[-O2];;fe2;Fe2+
LB[-O2];;fe3;Fe3+
LB[-O2];;fol;Folate
LB[-O2];;glc__D;D-Glucose
LB[-O2];;glu__L;L-Glutamate
LB[-O2];;gly;Glycine
LB[-O2];;gmp;GMP
LB[-O2];;gsn;Guanosine
LB[-O2];;h2o;H2O
LB[-O2];;h2s;Hydrogen sulfide
LB[-O2];;h;H+
LB[-O2];;hg2;Hg2+ 
LB[-O2];;his__L;L-Histidine
LB[-O2];;hxan;Hypoxanthine
LB[-O2];;ile__L;L-Isoleucine
LB[-O2];;ins;Inosine
LB[-O2];;k;K+
LB[-O2];;leu__L;L-Leucine
LB[-O2];;lipoate;Lipoate
LB[-O2];;lys__L;L-Lysine
LB[-O2];;met__L;L-Methionine
LB[-O2];;mg2;Mg
LB[-O2];;mn2;Mn2+
LB[-O2];;mobd;Molybdate
LB[-O2];;na1;Na+
LB[-O2];;nac;Isonicotinic acid
LB[-O2];;nh4;Ammonium
LB[-O2];;ni2;Ni2+
LB[-O2];;phe__L;L-Phenylalanine
LB[-O2];;pheme;Protoheme
LB[-O2];;pi;Phosphate
LB[-O2];;pnto__R;PAN
LB[-O2];;pro__L;L-Proline
LB[-O2];;pydx;Pyridoxal
LB[-O2];;ribflv;Riboflavin
LB[-O2];;ser__L;L-Serine
LB[-O2];;so4;Sulfate
LB[-O2];;thm;Thiamin
LB[-O2];;thr__L;L-Threonine
LB[-O2];;thymd;Thymidine
LB[-O2];;trp__L;L-Tryptophan
LB[-O2];;tyr__L;L-Tyrosine
LB[-O2];;ump;UMP
LB[-O2];;ura;Uracil
LB[-O2];;uri;Uridine
LB[-O2];;val__L;L-Valine
LB[-O2];;zn2;Zn2+
M9;M9 minimal medium;ca2;Ca2+
M9;;cl;Cl-
M9;;cobalt2;Co2+
M9;;cu2;Cu2+
M9;;fe2;Fe2+
M9;;fe3;Fe3+
M9;;glc__D;D-Glucose
M9;;h2o;H2O
M9;;h;H+
M9;;k;K+
M9;;mg2;Mg
M9;;mn2;Mn2+
M9;;mobd;Molybdate
M9;;na1;Na+
M9;;nh4;Ammonium
M9;;ni2;Ni2+
M9;;o2;O2
M9;;pi;Phosphate
M9;;so4;Sulfate
M9;;zn2;Zn2+
M9[-O2];M9 minimal medium (anaerobic);ca2;Ca2+
M9[-O2];;cl;Cl-
M9[-O2];;cobalt2;Co2+
M9[-O2];;cu2;Cu2+
M9[-O2];;fe2;Fe2+
M9[-O2];;fe3;Fe3+
M9[-O2];;glc__D;D-Glucose
M9[-O2];;h2o;H2O
M9[-O2];;h;H+
M9[-O2];;k;K+
M9[-O2];;mg2;Mg
M9[-O2];;mn2;Mn2+
M9[-O2];;mobd;Molybdate
M9[-O2];;na1;Na+
M9[-O2];;nh4;Ammonium
M9[-O2];;ni2;Ni2+
M9[-O2];;pi;Phosphate
M9[-O2];;so4;Sulfate
M9[-O2];;zn2;Zn2+
M9[glyc];M9 minimal medium (glycerol);ca2;Ca2+
M9[glyc];;cl;Cl-
M9[glyc];;cobalt2;Co2+
M9[glyc];;cu2;Cu2+
M9[glyc];;fe2;Fe2+
M9[glyc];;fe3;Fe3+
M9[glyc];;glyc;Glycerol
M9[glyc];;h2o;H2O
M9[glyc];;h;H+
M9[glyc];;k;K+
M9[glyc];;mg2;Mg
M9[glyc];;mn2;Mn2+
M9[glyc];;mobd;Molybdate
M9[glyc];;na1;Na+
M9[glyc];;nh4;Ammonium
M9[glyc];;ni2;Ni2+
M9[glyc];;o2;O2
M9[glyc];;pi;Phosphate
M9[glyc];;so4;Sulfate
M9[glyc];;zn2;Zn2+
SNM3;Synthetic Nasal Medium Version 3;ala__L;
SNM3;;arg__L;
SNM3;;cys__L;
SNM3;;glu__L;
SNM3;;gly;
SNM3;;his__L;
SNM3;;leu__L;
SNM3;;lys__L;
SNM3;;orn;
SNM3;;phe__L;
SNM3;;pro__L;
SNM3;;ser__L;
SNM3;;thr__L;
SNM3;;trp__L;
SNM3;;val__L;
SNM3;;cit;
SNM3;;fum;
SNM3;;male;
SNM3;;pyr;
SNM3;;succ;
SNM3;;glc__D;
SNM3;;urea;
SNM3;;na1;
SNM3;;cl;
SNM3;;k;
SNM3;;pi;
SNM3;;mg2;
SNM3;;so4;
SNM3;;;2,2-Bipyridine
SNM3;;ca2;
SNM3;;zn2;
SNM3;;mn2;
SNM3;;;H3BO3
SNM3;;cobalt2;
SNM3;;cu2;
SNM3;;ni2;
SNM3;;mobd;
SNM3;;adocbl;
SNM3;;4abz;
SNM3;;btn;
SNM3;;nac;
SNM3;;pnto__R;
SNM3;;pydam;
SNM3;;thm;
SNM3;;ribflv;
SNM3;;o2;
SNM3;;fe2;
SNM3;;h2o;
SNM3;;co2;
SMM;Synthetic Minimal Medium;na1;
SMM;;cl;
SMM;;k;
SMM;;mg2;
SMM;;so4;
SMM;;h2o;
SMM;;nh4;
SMM;;ca2;
SMM;;pi;
SMM;;fe2;
SMM;;mn2;
SMM;;glc__D;
SMM;;arg__L;
SMM;;cys__L;
SMM;;pro__L;
SMM;;nac;
SMM;;thm;
SMM;;pnto__R;
SMM;;h;
RPMI;;ca2;
RPMI;;no3;
RPMI;;mg2;
RPMI;;so4;
RPMI;;cl;
RPMI;;k;
RPMI;;na1;
RPMI;;pi;
RPMI;;gly;
RPMI;;arg__L;
RPMI;;asn__L;
RPMI;;asp__L;
RPMI;;cys__L;
RPMI;;glu__L;
RPMI;;gln__L;
RPMI;;his__L;
RPMI;;ile__L;
RPMI;;leu__L;
RPMI;;met__L;
RPMI;;phe__L;
RPMI;;pro__L;
RPMI;;ser__L;
RPMI;;thr__L;
RPMI;;trp__L;
RPMI;;tyr__L;
RPMI;;val__L;
RPMI;;lys__L;
RPMI;;btn;
RPMI;;chol;
RPMI;;ncam;
RPMI;;4abz;
RPMI;;ribflv;
RPMI;;thm;
RPMI;;inost;
RPMI;;pnto__R;
RPMI;;fol;
RPMI;;clb1;
RPMI;;pydxn;
RPMI;;cbl1;
RPMI;;nac;
RPMI;;glc__D;
RPMI;;gthrd;
RPMI;;h2o;
RPMI;;o2;
RPMI;;co2;
CGXII;corynebacterium glutamicum;ca2;Ca
CGXII;;cl;Cl
CGXII;;h2o;H2O
CGXII;;btn;biotin
CGXII;;fe2;Fe2+
CGXII;;fe3;FE3+
CGXII;;so4;SO4
CGXII;;mn2;Mn
CGXII;;zn2;Zn
CGXII;;cu2;Cu
CGXII;;ni2;Ni
CGXII;;h;H
CGXII;;na1;Na
CGXII;;34dhbz;Protocatechuate
CGXII;;nh4;NH4
CGXII;;urea;urea
CGXII;;k;K
CGXII;;pi;PO4
CGXII;;mg2;Mg
CGXII;;mops;MOPS
CGXII;;o2;O2
CGXII;;glc__D;D-Glucose
CasA;Casamino Acids;lys__L;Lysine
CasA;;his__L;Histidine
CasA;;arg__L;Arginine
CasA;;asp__L;Aspartic acid
CasA;;thr__L;Threonine
CasA;;glu__L;Glutamic acid
CasA;;gly;Glycine
CasA;;val__L;Valine
CasA;;met__L;Methionine
CasA;;ile__L;Isoleucine
CasA;;leu__L;Leucine
CasA;;tyr__L;Tyrosine
CasA;;phe__L;Phenylalanine
CGXlab;;nh4;
CGXlab;;so4;
CGXlab;;k;
CGXlab;;pi;
CGXlab;;urea;
CGXlab;;ca2;
CGXlab;;cl;
CGXlab;;mg2;
CGXlab;;fe2;
CGXlab;;mn2;
CGXlab;;ni2;
CGXlab;;cu2;
CGXlab;;zn2;
CGXlab;;btn;
CGXlab;;glc__D;
CGXlab;;h2o;
CGXlab;;o2;
CGXlab;;na1;
CGXlab;;h;
CGXlab;;34dhbz;